story_id,story_title,story_title_eng,nipata,character_present,character_past,species,sex,role_type,is_bodhisatta,keywords
Ja 1,Apaṇṇakajātaka,What Is Unquestionable,1s,Bodhisatta,the wise caravan leader (paṇḍitasatthavāhaputta),human,male,protagonist,yes,"Caution, Prudence, Devas"
Ja 1,Apaṇṇakajātaka,What Is Unquestionable,1s,Devadatta,the foolish caravan leader (bālasatthavāhaputta),human,male,antagonist,no,"Caution, Prudence, Devas"
Ja 2,Vaṇṇūpathajātaka,the Sandy Waste,1s,Bodhisatta,the caravan elder (satthavāhajeṭṭhaka),human,male,protagonist,yes,"Perseverance, Effort"
Ja 2,Vaṇṇūpathajātaka,the Sandy Waste,1s,monk who gave up striving,the serving lad (cullūpaṭṭhāka),human,male,supporting,no,"Perseverance, Effort"
Ja 3,Serivāṇijajātaka,the Merchant from Seri,1s,Bodhisatta,the wise merchant (paṇḍitavāṇija),human,male,protagonist,yes,"Honesty, Integrity"
Ja 3,Serivāṇijajātaka,the Merchant from Seri,1s,Devadatta,the foolish merchant (bālavāṇija),human,male,antagonist,no,"Honesty, Integrity"
Ja 4,Cullakaseṭṭhijātaka,the Little Merchant,1s,Bodhisatta,the wealthy man Cullaka (Cullakaseṭṭhi),human,male,protagonist,yes,"Perseverance, Amenability"
Ja 4,Cullakaseṭṭhijātaka,the Little Merchant,1s,Cullapanthaka,his little pupil (cullantevāsika),human,male,supporting,no,"Perseverance, Amenability"
Ja 5,Taṇḍulanālijātaka,the Measure of Rice,1s,Bodhisatta,the wise valuer (paṇḍita-agghāpanika),human,male,protagonist,yes,"Honesty, Truth"
Ja 5,Taṇḍulanālijātaka,the Measure of Rice,1s,Lāludāyī,the foolish village valuer (gāmikabāla-agghāpanika),human,male,supporting,no,"Honesty, Truth"
Ja 6,Devadhammajātaka,Righteousness,1s,Bodhisatta,"the elder brother, prince Mahisāsa (jeṭṭhakabhātā mahisāsakumāro)",human,male,protagonist,yes,"Faithfulness, Righteousness, Devas"
Ja 6,Devadhammajātaka,Righteousness,1s,Ānanda,prince Suriya (Sūriyakumāra),human,male,supporting,no,"Faithfulness, Righteousness, Devas"
Ja 6,Devadhammajātaka,Righteousness,1s,Sāriputta,prince Canda (Candakumāra),human,male,supporting,no,"Faithfulness, Righteousness, Devas"
Ja 6,Devadhammajātaka,Righteousness,1s,wealthy monk,Water Rakkhasa (Dakarakkhasa),yakkha,male,supporting,no,"Faithfulness, Righteousness, Devas"
Ja 7,Kaṭṭhahārijātaka,the Wood Gatherer,1s,Bodhisatta,the king (of Benares) Kaṭṭhavāhana (wooden vehicle) (Kaṭṭhavāhanarājā),human,male,protagonist,yes,Worthiness
